origin_station_complex_id,origin_station_complex_name,origin_latitude,origin_longitude,destination_station_complex_id,destination_station_complex_name,destination_latitude,destination_longitude,estimated_average_ridership,origin_borough,destination_borough,distance,proposed_fare,hourly_revenue,proposed_annual_rev_per_ride,current_annual_rev_per_ride,Unnamed: 16,proj_annual_rev,current_annual_rev,pct_winners,Unnamed: 20,2019,2020
421,"Gun Hill Rd (2,5)",40.87785,-73.866256,425,"Bronx Park East (2,5)",40.848828,-73.868457,4.0716,Bronx,Manhattan,2.0085443233019,2.482050637592456,10.105917376021443,5632.287761874584,6580.701562672236,,,,,,,
77,Kings Hwy (N),40.603923,-73.980353,344,Kingston Av (3),40.669399,-73.942161,1.0244,Bronx,Manhattan,4.9473847087348926,3.187372330096374,3.265144214950725,1819.7488776484083,1655.6809806467822,,,,,,,
265,"Grand Av-Newtown (M,R)",40.737015,-73.877223,407,Astor Pl (6),40.730054,-73.99107,0.2418,Bronx,Manhattan,5.979971932736061,3.4351932638566547,0.8306297312005391,462.93131990079365,390.8079472085044,,,,,,,
118,3 Av (L),40.732849,-73.986122,295,231 St (1),40.878856,-73.904834,0.5044,Bronx,Manhattan,10.947408863096529,4.627378127143166,2.334049527331013,1300.8258527412413,815.2337823489231,,,,,,,
77,Kings Hwy (N),40.603923,-73.980353,31,25 St (R),40.660397,-73.998091,0.5216,Bronx,Manhattan,4.011341472834829,2.962721953480359,1.545355770935355,861.2665305411452,843.033189677237,,,,,,,
246,Avenue I (F),40.625322,-73.976127,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,0.2656,Bronx,Manhattan,8.752386949859488,4.100572867966277,1.0891121537318431,606.9902242944794,429.2745689767526,,,,,,,
455,69 St (7),40.746325,-73.896403,383,183 St (4),40.858407,-73.903879,0.2614,Bronx,Manhattan,7.7540691717460755,3.860976601219058,1.0092592835586618,562.4861652672292,422.4863416058853,,,,,,,
458,46 St-Bliss St (7),40.743132,-73.918435,144,Dyckman St (A),40.865491,-73.927271,0.5106,Bronx,Manhattan,8.466905234653222,4.032057256316773,2.058768435075345,1147.4046175087144,825.2544989440132,,,,,,,
429,"Freeman St (2,5)",40.829993,-73.891865,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",40.758663,-73.981329,0.2284,Bronx,Manhattan,6.796296965145947,3.631111271635027,0.8293458144414402,462.215760057934,369.1502694062135,,,,,,,
232,2 Av (F),40.723402,-73.989938,397,"86 St (4,5,6)",40.779492,-73.955589,0.2218,Bronx,Manhattan,4.272218152642234,3.025332356634136,0.6710187167014514,373.9759949981165,358.4830549662792,,,,,,,
615,New Utrecht Av (N)/62 St (D),40.625657,-73.996624,97,"Myrtle Av (M,J,Z)",40.697207,-73.935657,0.2464,Bronx,Manhattan,5.88650554650861,3.4127613311620664,0.8409043919983332,468.657652713106,398.24267242421627,,,,,,,
309,103 St (1),40.799446,-73.968379,622,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",40.713154,-74.003766,0.2386,Bronx,Manhattan,6.243307707213287,3.4983938497311886,0.8347167725458616,465.2091331952259,385.6359644497484,,,,,,,
601,"14 St (F,M,1,2,3)/6 Av (L)",40.737796,-73.997732,414,"Bowling Green (4,5)",40.704817,-74.014065,5.2404,Bronx,Manhattan,2.433883308834411,2.5841319941202587,13.541885301987804,7547.241088678122,8469.768265307886,,,,,,,
191,88 St (A),40.679843,-73.85147,328,WTC Cortlandt (1),40.711835,-74.012188,0.236,Bronx,Manhattan,8.704689108273328,4.089125385985598,0.9650335910926012,537.8380490033809,381.4337284582591,,,,,,,
